playlist a,playlist b,common artists, unique artists
"3. millennial_nostalgia_road_trip","12. road_trip (agustdlc)",11,309
"3. millennial_nostalgia_road_trip","11. road_trip (darya)",2,297
"3. millennial_nostalgia_road_trip","10. road_trip (kat)",27,400
"3. millennial_nostalgia_road_trip","18. best_roadtrip_playlist_of_all_time",30,581
"3. millennial_nostalgia_road_trip","6. road-trip (meghan)",15,375
"3. millennial_nostalgia_road_trip","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",34,436
"3. millennial_nostalgia_road_trip","20. lets_go_girls_-_a_road_trip_playlist",27,234
"3. millennial_nostalgia_road_trip","13. road_trip (Mackie)",38,468
"3. millennial_nostalgia_road_trip","16. fun_road_trip_bangers",76,787
"3. millennial_nostalgia_road_trip","23. roadtrip_bangers",46,515
"3. millennial_nostalgia_road_trip","14. road-trip (maleena)",5,451
"3. millennial_nostalgia_road_trip","19. 2000s-2010s_roadtrip_songs",66,279
"3. millennial_nostalgia_road_trip","17. 70s_80s_90s_road_trip_jams",7,314
"3. millennial_nostalgia_road_trip","24. conic_songs_for_car_rides",35,316
"3. millennial_nostalgia_road_trip","9. road_trip_jams",32,318
"3. millennial_nostalgia_road_trip","road_trip_____",0,343
"3. millennial_nostalgia_road_trip","summer_road_trip_vibes",13,353
"3. millennial_nostalgia_road_trip","roadtrip_",5,365
"3. millennial_nostalgia_road_trip","the_ultimate_roadtrip_playlist__",55,478
"3. millennial_nostalgia_road_trip","all_american_road_trip",0,239
"3. millennial_nostalgia_road_trip","road_trippin_",58,1387
"3. millennial_nostalgia_road_trip","road_trip____",1,244
"3. millennial_nostalgia_road_trip","roadtrippin_",10,400
"3. millennial_nostalgia_road_trip","road_trip_",27,400
"3. millennial_nostalgia_road_trip","90s__00s_road_trippin",39,228
"12. road_trip (agustdlc)","11. road_trip (darya)",8,182
"12. road_trip (agustdlc)","10. road_trip (kat)",25,301
"12. road_trip (agustdlc)","18. best_roadtrip_playlist_of_all_time",11,516
"12. road_trip (agustdlc)","6. road-trip (meghan)",11,280
"12. road_trip (agustdlc)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",25,351
"12. road_trip (agustdlc)","20. lets_go_girls_-_a_road_trip_playlist",10,165
"12. road_trip (agustdlc)","13. road_trip (Mackie)",14,413
"12. road_trip (agustdlc)","16. fun_road_trip_bangers",37,762
"12. road_trip (agustdlc)","23. roadtrip_bangers",25,454
"12. road_trip (agustdlc)","14. road-trip (maleena)",5,348
"12. road_trip (agustdlc)","19. 2000s-2010s_roadtrip_songs",17,274
"12. road_trip (agustdlc)","17. 70s_80s_90s_road_trip_jams",1,223
"12. road_trip (agustdlc)","24. conic_songs_for_car_rides",16,251
"12. road_trip (agustdlc)","9. road_trip_jams",17,245
"12. road_trip (agustdlc)","road_trip_____",0,240
"12. road_trip (agustdlc)","summer_road_trip_vibes",7,262
"12. road_trip (agustdlc)","roadtrip_",0,272
"12. road_trip (agustdlc)","the_ultimate_roadtrip_playlist__",23,439
"12. road_trip (agustdlc)","all_american_road_trip",0,136
"12. road_trip (agustdlc)","road_trippin_",27,1346
"12. road_trip (agustdlc)","road_trip____",9,125
"12. road_trip (agustdlc)","roadtrippin_",20,277
"12. road_trip (agustdlc)","road_trip_",25,301
"12. road_trip (agustdlc)","90s__00s_road_trippin",0,203
"11. road_trip (darya)","10. road_trip (kat)",4,313
"11. road_trip (darya)","18. best_roadtrip_playlist_of_all_time",2,504
"11. road_trip (darya)","6. road-trip (meghan)",4,264
"11. road_trip (darya)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",3,365
"11. road_trip (darya)","20. lets_go_girls_-_a_road_trip_playlist",1,153
"11. road_trip (darya)","13. road_trip (Mackie)",8,395
"11. road_trip (darya)","16. fun_road_trip_bangers",10,786
"11. road_trip (darya)","23. roadtrip_bangers",8,458
"11. road_trip (darya)","14. road-trip (maleena)",13,302
"11. road_trip (darya)","19. 2000s-2010s_roadtrip_songs",3,272
"11. road_trip (darya)","17. 70s_80s_90s_road_trip_jams",0,195
"11. road_trip (darya)","24. conic_songs_for_car_rides",2,249
"11. road_trip (darya)","9. road_trip_jams",2,245
"11. road_trip (darya)","road_trip_____",0,210
"11. road_trip (darya)","summer_road_trip_vibes",2,242
"11. road_trip (darya)","roadtrip_",3,236
"11. road_trip (darya)","the_ultimate_roadtrip_playlist__",7,441
"11. road_trip (darya)","all_american_road_trip",0,106
"11. road_trip (darya)","road_trippin_",12,1346
"11. road_trip (darya)","road_trip____",2,109
"11. road_trip (darya)","roadtrippin_",8,271
"11. road_trip (darya)","road_trip_",4,313
"11. road_trip (darya)","90s__00s_road_trippin",0,173
"10. road_trip (kat)","18. best_roadtrip_playlist_of_all_time",42,577
"10. road_trip (kat)","6. road-trip (meghan)",26,373
"10. road_trip (kat)","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",34,456
"10. road_trip (kat)","20. lets_go_girls_-_a_road_trip_playlist",20,268
"10. road_trip (kat)","13. road_trip (Mackie)",23,518
"10. road_trip (kat)","16. fun_road_trip_bangers",90,779
"10. road_trip (kat)","23. roadtrip_bangers",59,509
"10. road_trip (kat)","14. road-trip (maleena)",7,467
"10. road_trip (kat)","19. 2000s-2010s_roadtrip_songs",37,357
"10. road_trip (kat)","17. 70s_80s_90s_road_trip_jams",30,288
"10. road_trip (kat)","24. conic_songs_for_car_rides",26,354
"10. road_trip (kat)","9. road_trip_jams",31,340
"10. road_trip (kat)","road_trip_____",10,343
"10. road_trip (kat)","summer_road_trip_vibes",21,357
"10. road_trip (kat)","roadtrip_",11,373
"10. road_trip (kat)","the_ultimate_roadtrip_playlist__",49,510
"10. road_trip (kat)","all_american_road_trip",0,259
"10. road_trip (kat)","road_trippin_",54,1415
"10. road_trip (kat)","road_trip____",8,250
"10. road_trip (kat)","roadtrippin_",36,368
"10. road_trip (kat)","road_trip_",236,2
"10. road_trip (kat)","90s__00s_road_trippin",9,308
"18. best_roadtrip_playlist_of_all_time","6. road-trip (meghan)",42,528
"18. best_roadtrip_playlist_of_all_time","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",37,637
"18. best_roadtrip_playlist_of_all_time","20. lets_go_girls_-_a_road_trip_playlist",22,451
"18. best_roadtrip_playlist_of_all_time","13. road_trip (Mackie)",27,697
"18. best_roadtrip_playlist_of_all_time","16. fun_road_trip_bangers",96,954
"18. best_roadtrip_playlist_of_all_time","23. roadtrip_bangers",60,694
"18. best_roadtrip_playlist_of_all_time","14. road-trip (maleena)",5,658
"18. best_roadtrip_playlist_of_all_time","19. 2000s-2010s_roadtrip_songs",21,576
"18. best_roadtrip_playlist_of_all_time","17. 70s_80s_90s_road_trip_jams",28,479
"18. best_roadtrip_playlist_of_all_time","24. conic_songs_for_car_rides",33,527
"18. best_roadtrip_playlist_of_all_time","9. road_trip_jams",20,549
"18. best_roadtrip_playlist_of_all_time","road_trip_____",19,512
"18. best_roadtrip_playlist_of_all_time","summer_road_trip_vibes",47,492
